first,last,age,dollar,phone,join_date
Scott,Carpenter,48,$7453.53,(768) 480-8408,2018-05-19
Adele,Gibbs,32,$9772.54,(760) 400-4449,2018-05-19
Garrett,Holland,43,$4321.49,(428) 521-8301,2018-05-19
Minnie,Greene,40,$2756.40,(371) 442-9105,2018-05-19
Curtis,Farmer,63,$5954.00,(869) 818-4413,2018-05-19
Emilie,Hubbard,40,$7497.05,(429) 947-5720,2018-05-19
Vincent,Townsend,49,$5594.87,(570) 925-3187,2018-05-19
Ricky,Mendez,49,$3686.11,(450) 821-5101,2018-05-19
Jack,Parsons,54,$4850.87,(925) 979-8104,2018-05-19
Nannie,Sutton,31,$9191.88,(311) 331-3229,2018-05-19
Marie,Kelley,60,$1848.18,(405) 569-6643,2018-05-19
Olive,Mitchell,51,$7115.84,(433) 313-8124,2018-05-19
John,Burgess,30,$175.31,(868) 600-9305,2018-05-19
Lottie,Reid,60,$3786.85,(602) 236-7371,2018-05-19
Bettie,Gutierrez,37,$726.14,(426) 402-2838,2018-05-19
Benjamin,Nelson,18,$6558.15,(202) 722-8432,2018-05-19
Josie,Perez,32,$2268.38,(901) 277-6817,2018-05-19
Rosalie,Morris,36,$8610.68,(439) 398-5515,2018-05-19
Nellie,Payne,57,$6149.16,(781) 661-8737,2018-05-19
Ethel,Holt,47,$9689.57,(642) 263-9438,2018-05-19
Max,Parsons,20,$3946.71,(265) 637-6485,2018-05-19
Ethel,Turner,43,$9292.50,(402) 928-6019,2018-05-19
Curtis,Abbott,61,$9090.00,(703) 718-3949,2018-05-19
Terry,Rose,31,$2204.66,(483) 522-6898,2018-05-19
Lydia,Parks,63,$2775.83,(227) 641-4224,2018-05-19
Dylan,Flores,56,$7625.42,(234) 339-2132,2018-05-19
Sadie,Reyes,24,$3463.29,(711) 965-6133,2018-05-19
Richard,Craig,60,$2740.83,(677) 756-2654,2018-05-19
Noah,Cain,28,$6893.18,(420) 324-9980,2018-05-19
Jennie,Benson,54,$6166.91,(406) 442-5523,2018-05-19
Mike,Caldwell,62,$7083.93,(279) 349-7198,2018-05-19
Duane,Lawson,41,$7823.73,(336) 556-8610,2018-05-19
Carrie,Schwartz,55,$7361.76,(845) 316-7715,2018-05-19
Matthew,Hunter,65,$4471.64,(874) 344-3804,2018-05-19
Lois,Patterson,23,$8467.26,(674) 512-3361,2018-05-19
Blanche,Townsend,40,$6037.26,(364) 794-9355,2018-05-19
Edith,Floyd,44,$5218.19,(568) 298-4600,2018-05-19
Leonard,Welch,31,$2799.14,(713) 383-9008,2018-05-19
Emily,Maxwell,56,$1320.98,(708) 494-4414,2018-05-19
Ronald,Sharp,44,$9248.36,(664) 606-4713,2018-05-19
David,Guerrero,48,$3756.72,(948) 761-3379,2018-05-19
Bess,Gray,40,$6214.01,(220) 664-2381,2018-05-19
John,Patton,31,$8836.56,(907) 508-8900,2018-05-19
Albert,Gomez,39,$7761.50,(985) 286-3225,2018-05-19
Violet,Hale,46,$6026.46,(751) 323-6956,2018-05-19
Adelaide,Jordan,44,$4175.49,(445) 201-7852,2018-05-19
Violet,Cannon,47,$5588.81,(906) 288-8179,2018-05-19
Vernon,Santos,62,$2787.48,(553) 786-2751,2018-05-19
Rebecca,Garcia,60,$4208.77,(877) 952-4322,2018-05-19
Hester,Butler,23,$5216.05,(710) 593-5473,2018-05-19
Hilda,Owens,23,$1901.73,(313) 296-9628,2018-05-19
Jeffery,Cooper,64,$925.54,(515) 612-3212,2018-05-19
Ellen,Clayton,47,$3870.14,(402) 887-8694,2018-05-19
Rebecca,Logan,28,$7665.45,(630) 728-2457,2018-05-19
Timothy,Francis,36,$4771.53,(703) 219-6407,2018-05-19
Maud,Brooks,21,$7348.08,(805) 393-4850,2018-05-19
Herman,Holmes,41,$9031.25,(270) 717-8278,2018-05-19
Esther,Manning,49,$2498.98,(444) 538-4678,2018-05-19
Ida,Collier,28,$64.82,(315) 580-4620,2018-05-19
Elnora,Maldonado,32,$2761.67,(480) 216-4457,2018-05-19
Nettie,Duncan,20,$6359.43,(974) 522-7571,2018-05-19
Ella,Stewart,38,$4155.99,(830) 203-1078,2018-05-19
Frederick,Powers,60,$3458.41,(835) 496-5933,2018-05-19
Frederick,Webster,60,$5706.79,(356) 645-3504,2018-05-19
Ina,Tran,26,$4919.92,(534) 210-2103,2018-05-19
Lizzie,Morgan,31,$3729.51,(836) 958-3370,2018-05-19
Adam,Maxwell,46,$9954.09,(956) 313-6699,2018-05-19
Leona,Wells,54,$6897.74,(672) 522-4251,2018-05-19
Phoebe,Hernandez,62,$2260.86,(420) 464-4392,2018-05-19
Flora,Jennings,61,$7010.15,(213) 490-7738,2018-05-19
